NAME,MSINI,A,PER,ECC,OM,MASS,RSTAR,DEPTH,BMV,V,VURL,VREF,J,H,KS
,mjupiter,au,day,,deg,mjupiter,rsun,,,,,,,,
OGLE-2007-BLG-368L b,,,,,,0.0629,,,,,,,,,
HD 125612 b,3.06805,1.3728,559.40487,0.45899,41.4902,3.06805,1.0426,,0.628,8.31,,,,,
Kepler-20 f,0,0.137859,19.57706,0,,0,0.944,0.0001004,0.9,12.51,,,11.252,10.91,10.871
Kepler-198 b,0,0.13337,17.790037,,90,0,0.94,,,,,,12.421,12.067,12.027
42 Dra b,3.73203,1.16693,479.1,0.38,218.7,3.73203,22.04,,1.187,4.833,,,2.948,2.197,2.084
Kepler-216 b,0,0.0762713,7.693641,,90,0,1.26,,,,,,12.956,12.695,12.621
Kepler-292 d,0,0.0719945,7.055679,,90,0,0.826,,,,,,14.537,14.08,13.97
Kepler-53 b,0,0.136705,18.6489525,,,0,0.89,,,,,,14.252,13.91,13.81
Kepler-11 b,0.01352,0.0914497,10.3039,0.045,45,0.00597804,1.065,0.0003013,,,,,12.548,12.237,12.18
HD 153950 b,2.74209,1.28031,499.4,0.34,308.2,2.74209,1.15135,,0.565,7.39,,,6.312,6.078,6.006
Kepler-69 b,0,0.104565,13.722341,0.16,,0,0.93,0.000597,,14,http://adsabs.harvard.edu/abs/2012PASP..124..316E,Everett 2012,12.631,12.284,12.234
Kepler-27 c,0,0.168484,31.3309,0,90,0,0.59,0.00355097,,,,,14.48,14.03,14.12
HD 16141 b,0.249652,0.355656,75.523,0.252,42,0.249652,2.05,,0.67,6.83,,,5.679,5.346,5.266
Kepler-221 c,0,0.0623799,5.690586,,90,0,0.821,,,,,,12.413,11.995,11.9
Kepler-7 b,0.436942,0.0622369,4.885525,0,90,0.437758,1.843,0.00679141,,,,,11.833,11.601,11.535
HIP 91258 b,1.068,0.0566534,5.0505,0.024,276,1.068,1,,0.01,8.65,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,7.31,6.996,6.893
WASP-24 b,1.08429,0.0365155,2.3412127,0,90,1.091,1.331,0.01008,0.78,11.306,,,10.457,10.219,10.148
HAT-P-29 b,0.778006,0.0666842,5.723186,0.095,169,0.779004,1.224,0.00859329,0.47,11.83,,,10.648,10.395,10.297
Kepler-38 b,0,0.429659,105.595,0,,0,1.757,,,,,,12.73,12.412,12.342
HD 204313 d,1.60642,3.94498,2831.6,0.28,247,1.60642,,,0.695,8.006,,,6.812,6.539,6.459
PSR B1257+12 B,0.0108059,0.321369,66.5419,0.0186,250.4,0.0135305,,,,,,,,,
Kepler-147 b,0,0.10603,12.610584,,90,0,1.468,,,,,,12.786,12.475,12.416
HD 50554 b,4.39876,2.26097,1224,0.444,7.4,4.39876,1.25271,,0.582,6.84,,,5.775,5.516,5.466
HD 11964 c,0.0770689,0.226601,37.910254,0.301733,101.941,0.0770689,1.76025,,0.817,6.42,,,5.022,4.636,4.49
Kepler-79 d,0,0.272969,52.09059,,90,0,1.403,,,,,,12.913,12.653,12.61
Kepler-344 c,0,0.490824,125.596809,,90,0,0.976,,,,,,14.082,13.71,13.66
HD 13189 b,7.12332,1.25186,471.6,0.27,160.7,7.12332,32.3233,,1.48,7.56,,,,,
HD 60532 b,1.0348,0.759258,201.3,0.28,351.9,1.0348,2.35065,,0.52,4.45,,,3.702,3.318,3.354
HAT-P-11 b,0.0825071,0.0525443,4.8878162,0.198,355.2,0.0825354,0.75,0.003318,1.025,9.578,,,7.607,7.131,7.009
Kepler-406 b,0.0199895,0.0361437,2.42629,0,90,0.0199895,1.07,0.000150921,,,,,11.34,11.035,10.97
Kepler-171 b,0,0.0506781,4.166972,,90,0,0.839,,,,,,13.586,13.23,13.21
Kepler-330 b,0,0.0799685,8.25978,,90,0,0.722,,,,,,13.86,13.315,13.26
HD 104067 b,0.185935,0.264333,55.806,0,90,0.185935,0.858425,,0.976,7.921,,,6.212,5.754,5.614
Kepler-229 b,0,0.0664249,6.252972,,90,0,0.728,,,,,,14.36,13.87,13.79
Kepler-144 c,0,0.0914719,10.104665,,90,0,1.235,,,,,,11.05,10.83,10.792
HD 20794 b,0.00848679,0.120738,18.315,0,0,0.00848679,1.22683,,0.711,4.26,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,3.032,2.709,2.636
Kepler-94 b,,0.033677,2.50806,0,,0.0341063,0.76,0.0017606,,,,,11.181,10.681,10.594
Kepler-115 c,0,0.0846204,8.990889,,90,0,1.205,,,,,,12.315,12.028,11.97
Kepler-320 c,0,0.134093,17.934937,,90,0,1.108,,,,,,12.546,12.283,12.31
HD 195019 b,3.57989,0.136688,18.20132,0.0138,231,3.57989,1.34728,,0.662,6.87,,,5.604,5.325,5.256
Kepler-274 c,0,0.202153,33.197861,,90,0,1.007,,,,,,13.773,13.458,13.46
GJ 832 b,0.644279,3.4032,3416,0.12,304,0.644279,,,1.52,8.66,,,5.349,4.766,4.501
Kepler-26 e,0,0.254259,46.827915,,90,0,0.571,,,,,,13.408,12.746,12.63
GJ 667 C b,0.0171709,0.0504235,7.199,0.09,356,0.0171709,,,1.57,10.22,,,6.848,6.322,6.036
Kepler-254 d,0,0.138108,18.746477,,90,0,0.91,,,,,,14.68,14.27,14.25
CoRoT-19 b,1.10724,0.0516604,3.89713,0.047,,1.10792,1.65,0.00617796,0.56,14.007,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G,Guenther 2012,12.324,11.961,11.837
Kepler-264 b,0,0.231966,40.806231,,90,0,1.55,,,,,,11.918,11.692,11.591
Kepler-122 c,0,0.105218,12.465988,,90,0,1.216,,,,,,13.173,12.887,12.826
Kepler-142 b,0,0.0313162,2.024152,,90,0,1.269,,,,,,12.092,11.801,11.762
alpha Ari b,1.71662,1.1296,380,0.25,89.16,1.71662,13.7883,,1.16,1.996,,,-0.196,-0.749,-0.783
Kepler-240 c,0,0.0779794,7.953528,,90,0,0.739,,,,,,14.113,13.606,13.46
61 Vir b,0.016075,0.05006,4.215,0.12,105,0.016075,0.978547,,0.709,4.866,,,3.334,2.974,2.956
Kepler-298 b,0,0.0936962,10.475464,,90,0,0.582,,,,,,13.718,13.139,13.07
HD 210702 b,1.86459,1.17218,354.29,0.036,282.3,1.86459,5.17,,0.951,5.93,,,4.508,3.995,3.983
Kepler-363 d,0,0.102192,11.932125,,90,0,1.485,,,,,,12.111,11.755,11.697
HAT-P-4 b,0.671507,0.0443853,3.056536,0,90,0.671507,1.596,0.006724,0.7,11.2,,,,,
HAT-P-21 b,4.07346,0.0494951,4.124481,0.228,309,4.07833,1.105,0.009025,1.1,11.685,,,10.503,10.154,10.111
Kepler-215 d,0,0.192566,30.864423,,90,0,1.027,,,,,,12.417,12.065,11.996
